Title,IMDB ID,Released in Theaters,Release Year,Rating,Rotten Tomatoes,Wikipedia ID
Rocky,tt0075148,False,1976,PG,11405,45772
Dallas Buyers Club,tt0790636,False,2013,R,771358464,37617614
The King's Speech,tt1504320,False,2010,R,770816664,25080984
Christmas Inheritance,tt7608534,False,2017,NR,0,0
Gosford Park,tt0280707,False,2001,R,13293,142476
Cloud Atlas,tt1371111,False,2012,R,771310572,31232694
Hot Rod,tt0787475,False,2007,PG-13,761762299,6937139
Bright,tt5519340,False,2017,NR,771439881,49628665
Rosemary's Baby,tt0063522,False,1968,R,13060,9830229
The Princess Switch,tt8954732,False,2018,PG,0,0
The Conjuring,tt1457767,False,2013,R,771312656,37671451
Unaccompanied Minors,tt0488658,False,2006,PG,387310978,8023659
John Carter,tt0401729,False,2012,PG-13,770801433,982480
Indiana Jones and the Temple of Doom,tt0087469,False,1984,PG-13,23530,81503
Layer Cake,tt0375912,False,2004,R,16153,1044633
Outlaw King,tt6679794,False,2018,R,0,0
The Dirt,tt0800325,False,2019,R,0,0
The First Wives Club,tt0116313,False,1996,PG,10391,2018921
Time Trap,tt4815122,False,2017,NR,0,0
Jackie Brown,tt0119396,False,1997,R,13004,394792
The Meyerowitz Stories (New and Selected),tt5536736,False,2017,NR,771446613,49746122
The Time Machine,tt0268695,False,2002,PG-13,10794,3759215
Jupiter Ascending,tt1617661,False,2015,PG-13,771352387,37599043
Blood Diamond,tt0450259,False,2006,R,358182346,4453691
Ant-Man and The Wasp,tt5095030,False,2018,PG-13,771432062,48122556
I Am Mother,tt6292852,False,2019,NR,0,57932391
The Theory of Everything,tt2980516,False,2014,PG-13,771366367,39693688
Between Two Ferns: The Movie,tt9398640,False,2019,NR,771509060,60851971
Lolita,tt0056193,False,1962,R,20226,1488066
Spider-Man 3,tt0413300,False,2007,PG-13,358167972,702117
The Adventures of Sharkboy & Lavagirl,tt0424774,False,2005,PG,1786,1996350
Fracture,tt0488120,False,2007,R,632318478,7920068
Charlie's Angels: Full Throttle,tt0305357,False,2003,PG-13,17226,256337
Men in Black,tt0119654,False,1997,PG-13,12656,167599
Frances Ha,tt2347569,False,2013,R,771315440,37888701
Austin Powers: The Spy Who Shagged Me,tt0145660,False,1999,PG-13,10667,241603
A Night at the Roxbury,tt0120770,False,1998,PG-13,10262,149748
To All the Boys I've Loved Before,tt3846674,False,2018,NR,771495113,54623882
Tusk,tt3099498,False,2014,R,771372255,40530064
The Kissing Booth,tt3799232,False,2018,NR,0,0
Primal Fear,tt0117381,False,1996,R,13253,1055466
The Place Beyond the Pines,tt1817273,False,2013,R,771272420,33572843
The Pursuit of Happyness,tt0454921,False,2006,PG-13,348520342,2162986
The Wolf's Call,tt7458762,False,2019,NR,771506332,60174677
The Silence,tt7315484,False,2019,NR,0,0
The Game,tt0119174,False,1997,R,15651,3911312
The Lives of Others,tt0405094,False,2006,R,371352714,5454803
Inside Man: Most Wanted,tt7832848,False,2019,R,771510788,58947932
Crash,tt0375679,False,2004,R,12,1749535
Superman Returns,tt0348150,False,2006,PG-13,155655236,1082656
Sling Blade,tt0117666,False,1996,R,13636,171522
"Lock, Stock and Two Smoking Barrels",tt0120735,False,1998,R,15261,210151
Movie 43,tt1333125,False,2013,R,771223474,29097142
American Honey,tt3721936,False,2016,R,771437013,46752689
The Perfection,tt7772580,False,2018,NR,0,0
She's Out of My League,tt0815236,False,2010,R,770682073,16936786
The Danish Girl,tt0810819,False,2015,R,0,25329994
Lincoln,tt0443272,False,2012,PG-13,770682079,31724592
Green Room,tt4062536,False,2016,R,771419054,44256011
Limitless,tt1219289,False,2011,PG-13,771036677,27372372
It Comes at Night,tt4695012,False,2017,R,771468387,51625807
The Princess and the Frog,tt0780521,False,2009,G,770682608,6141751
Hell or High Water,tt2582782,False,2016,R,771442759,46533222
What Happened to Monday,tt1536537,False,2017,NR,771474840,47404924
The Matrix Revolutions,tt0242653,False,2003,R,12920,210998
Below Her Mouth,tt5073620,False,2017,NR,771440609,51413779
"Love, Rosie",tt1638002,False,2014,R,771357113,40008434
Defiance,tt1034303,False,2008,R,770682436,15349469
Hostiles,tt5478478,False,2017,NR,771438245,50809459
Enemy,tt2316411,False,2013,R,771363451,38850565
"The Goods: Live Hard, Sell Hard",tt1092633,False,2009,R,770789347,23292052
The Adventures of Tintin,tt0983193,False,2011,PG,770681094,11400848
Revolutionary Road,tt0959337,False,2008,R,770674037,10215404
The Squid and the Whale,tt0367089,False,2005,R,8564,1720492
The Red Sea Diving Resort,tt4995776,False,2019,R,0,0
Logan's Run,tt0074812,False,1976,PG,12280,5871867
The Score,tt0227445,False,2001,R,13558,316092
Wet Hot American Summer,tt0243655,False,2001,R,16434,426761
3 Idiots,tt1187043,False,2009,PG-13,770802394,17927503
Blue Valentine,tt1120985,False,2010,NC-17,770728350,25971350
The Fighter,tt0964517,False,2010,R,770671941,23652051
Hit & Run,tt2097307,False,2012,R,771265551,35197372
Takers,tt1135084,False,2010,PG-13,770803979,20020813
Malcolm X,tt0104797,False,1992,PG-13,10624,300972
Burlesque,tt1126591,False,2010,PG-13,770857928,24473950
Beasts of No Nation,tt1365050,False,2015,NR,771414762,43169967
Saving Mr. Banks,tt2140373,False,2013,PG-13,771318858,36724342
Fear and Loathing in Las Vegas,tt0120669,False,1998,R,13278,5842075
Chappie,tt1823672,False,2015,R,771360372,39536272
Miracle,tt0349825,False,2004,PG,10022,464883
The Invitation,tt2400463,False,2015,NR,771308377,45666409
Secret In Their Eyes,tt1741273,False,2015,PG-13,771414378,45340529
Bad Boys II,tt0172156,False,2003,R,13355,1037237
Stripes,tt0083131,False,1981,R,14899,560511
Billy Elliot,tt0249462,False,2000,PG-13,13000,168929
Short Term 12,tt2370248,False,2013,R,771351766,39913592
The Boy in the Striped Pajamas,tt0914798,False,2008,PG-13,770771479,19062669
Monty Python and the Holy Grail,tt0071853,False,1975,PG,11450,19701
About a Boy,tt0276751,False,2002,PG-13,10419,4205606
The Crow,tt0109506,False,1994,R,15519,406339
Righteous Kill,tt1034331,False,2008,R,770672980,11288620
Rain Man,tt0095953,False,1988,R,15245,129368
The Dirty Dozen,tt0061578,False,1967,NR,22023,309070
Black Snake Moan,tt0462200,False,2006,R,484814600,5930384
Rattlesnake,tt9257484,False,2019,NR,0,0
District 9,tt1136608,False,2009,R,770805203,20777420
God's Own Country,tt5635086,False,2017,NR,771467651,52836188
Rounders,tt0128442,False,1998,R,13868,923759
Y Tu Mamá También,tt0245574,False,2001,R,16995,195388
The Gift,tt0219699,False,2000,R,13522,1312584
Get Smart,tt0425061,False,2008,PG-13,770669966,8219325
Austin Powers in Goldmember,tt0295178,False,2002,PG-13,11167,151461
The Bad Batch,tt4334266,False,2017,R,771445663,46181221
The Book of Eli,tt1037705,False,2010,R,770804147,20450767
Dangal,tt5074352,False,2016,NR,771435665,45266920
Hellboy,tt0167190,False,2004,PG-13,10494,5292920
The Ridiculous 6,tt2479478,False,2015,NR,771423053,45640705
The Pelican Brief,tt0107798,False,1993,PG-13,10452,5123756
Hamburger Hill,tt0093137,False,1987,R,13419,675947
The Queen of the Damned,tt0238546,False,2002,R,13541,9088886
Master Z: Ip Man Legacy,tt7262882,False,2018,NR,0,58890522
Indiana Jones and the Kingdom of the Crystal Skull,tt0367882,False,2008,PG-13,769964099,1252914
Winter's Bone,tt1399683,False,2010,R,770856649,26012433
Cool Hand Luke,tt0061512,False,1967,PG,18102,161897
Avengement,tt8836988,False,2019,NR,0,0
The Texas Chainsaw Massacre,tt0072271,False,1974,R,14466,29781
Executive Decision,tt0116253,False,1996,R,14206,67422
"Oh, Ramona!",tt7200946,False,2019,NR,0,0
Cut Bank,tt1661820,False,2014,R,771361096,39490783
Forbidden Planet,tt0049223,False,1956,G,9400,54999
Christopher Robin,tt4575576,False,2018,PG,0,0
Little Monsters,tt0097758,False,1989,PG,12646,5398963
The Ritual,tt5638642,False,2017,NR,771484214,55743192
Leap Year,tt1216492,False,2010,PG,770816444,24725226
Paradise Beach,tt7511008,False,2019,NR,771514925,60070514
Deep Blue Sea,tt0149261,False,1999,R,0,1086550
Doctor Zhivago,tt0059113,False,1965,PG-13,10116,97758
Insidious,tt1591095,False,2010,PG-13,771205539,27645834
Velvet Buzzsaw,tt7043012,False,2019,NR,0,0
The Command,tt4951982,False,2018,PG-13,0,0
Coraline,tt0327597,False,2009,PG,770680446,3287436
The Edge of Seventeen,tt1878870,False,2016,R,771436167,48966119
Enter the Dragon,tt0070034,False,1973,R,13174,10193
The Autopsy of Jane Doe,tt3289956,False,2016,R,771450049,51799007
You Don't Mess with the Zohan,tt0960144,False,2008,PG-13,770671938,9513043
Young Adult,tt1625346,False,2011,R,771211544,31700012
1922,tt6214928,False,2017,NR,771484641,55353204
Nymphomaniac Vol II,tt2382009,False,2013,NR,771306516,34470911
Rocky IV,tt0089927,False,1985,PG,11576,104984
The Dark Crystal,tt0083791,False,1982,PG,10235,348292
Locke,tt2692904,False,2014,R,771357110,39359669
Apostle,tt6217306,False,2018,NR,0,0
Mirage,tt6908274,False,2018,NR,0,0
Alice Doesn't Live Here Anymore,tt0071115,False,1974,PG,11726,225481
